t,V,I
72183.37983,2.982619515,-0.01
72243.37983,2.982906354,-0.01
72303.37983,2.983192901,-0.01
72363.37983,2.983479157,-0.01
72423.37983,2.983765121,-0.01
72483.37983,2.984050794,-0.01
72543.37983,2.984336176,-0.01
72603.37983,2.984621269,-0.01
72663.37983,2.984906071,-0.01
72723.37983,2.985190584,-0.01
72783.37983,2.985474808,-0.01
72843.37983,2.985758743,-0.01
72903.37983,2.986042389,-0.01
72963.37983,2.986325748,-0.01
73023.37983,2.986608818,-0.01
73083.37983,2.986891601,-0.01
73143.37983,2.987174097,-0.01
73203.37983,2.987456306,-0.01
73263.37983,2.987738229,-0.01
73323.37983,2.988019865,-0.01
73383.37983,2.988301216,-0.01
73443.37983,2.988582282,-0.01
73503.37983,2.988863062,-0.01
73563.37983,2.989143558,-0.01
73623.37983,2.98942377,-0.01
73683.37983,2.989703697,-0.01
73743.37983,2.989983341,-0.01
73803.37983,2.990262701,-0.01
73863.37983,2.990541779,-0.01
73923.37983,2.990820573,-0.01
73983.37983,2.991099086,-0.01
74043.37983,2.991377316,-0.01
74103.37983,2.991655265,-0.01
74163.37983,2.991932933,-0.01
74223.37983,2.992210319,-0.01
74283.37983,2.992487425,-0.01
74343.37983,2.992764251,-0.01
74403.37983,2.993040797,-0.01
74463.37983,2.993317063,-0.01
74523.37983,2.99359305,-0.01
74583.37983,2.993868758,-0.01
74643.37983,2.994144187,-0.01
74703.37983,2.994419339,-0.01
74763.37983,2.994694212,-0.01
74823.37983,2.994968807,-0.01
74883.37983,2.995243126,-0.01
74943.37983,2.995517167,-0.01
75003.37983,2.995790932,-0.01
75063.37983,2.996064421,-0.01
75123.37983,2.996337634,-0.01
75183.37983,2.996610571,-0.01
75243.37983,2.996883233,-0.01
75303.37983,2.99715562,-0.01
75363.37983,2.997427733,-0.01
75423.37983,2.997699571,-0.01
75483.37983,2.997971135,-0.01
75543.37983,2.998242426,-0.01
75603.37983,2.998513444,-0.01
75663.37983,2.998784188,-0.01
75723.37983,2.99905466,-0.01
75783.37983,2.99932486,-0.01
75843.37983,2.999594788,-0.01
75903.37983,2.999864444,-0.01
75963.37983,3.000133829,-0.01
76023.37983,3.000402943,-0.01
76083.37983,3.000671787,-0.01
76143.37983,3.00094036,-0.01
76203.37983,3.001208663,-0.01
76263.37983,3.001476697,-0.01
76323.37983,3.001744461,-0.01
76383.37983,3.002011956,-0.01
76443.37983,3.002279183,-0.01
76503.37983,3.002546142,-0.01
76563.37983,3.002812832,-0.01
76623.37983,3.003079255,-0.01
76683.37983,3.00334541,-0.01
76743.37983,3.003611298,-0.01
76803.37983,3.00387692,-0.01
76863.37983,3.004142275,-0.01
76923.37983,3.004407365,-0.01
76983.37983,3.004672188,-0.01
77043.37983,3.004936746,-0.01
77103.37983,3.005201039,-0.01
77163.37983,3.005465068,-0.01
77223.37983,3.005728832,-0.01
77283.37983,3.005992332,-0.01
77343.37983,3.006255568,-0.01
77403.37983,3.00651854,-0.01
77463.37983,3.00678125,-0.01
77523.37983,3.007043696,-0.01
77583.37983,3.00730588,-0.01
77643.37983,3.007567802,-0.01
77703.37983,3.007829462,-0.01
77763.37983,3.008090861,-0.01
77823.37983,3.008351998,-0.01
77883.37983,3.008612874,-0.01
77943.37983,3.00887349,-0.01
78003.37983,3.009133846,-0.01
78063.37983,3.009393941,-0.01
78123.37983,3.009653777,-0.01
78183.37983,3.009913354,-0.01
78243.37983,3.010172672,-0.01
78303.37983,3.01043173,-0.01
78363.37983,3.010690531,-0.01
78423.37983,3.010949074,-0.01
78483.37983,3.011207358,-0.01
78543.37983,3.011465386,-0.01
78603.37983,3.011723156,-0.01
78663.37983,3.01198067,-0.01
78723.37983,3.012237927,-0.01
78783.37983,3.012494928,-0.01
78843.37983,3.012751673,-0.01
78903.37983,3.013008162,-0.01
78963.37983,3.013264396,-0.01
79023.37983,3.013520376,-0.01
79083.37983,3.013776101,-0.01
79143.37983,3.014031571,-0.01
79203.37983,3.014286788,-0.01
79263.37983,3.01454175,-0.01
79323.37983,3.01479646,-0.01
79383.37983,3.015050916,-0.01
79443.37983,3.01530512,-0.01
79503.37983,3.015559071,-0.01
79563.37983,3.015812771,-0.01
79623.37983,3.016066218,-0.01
79683.37983,3.016319414,-0.01
79743.37983,3.016572359,-0.01
79803.37983,3.016825053,-0.01
79863.37983,3.017077496,-0.01
79923.37983,3.017329689,-0.01
79983.37983,3.017581632,-0.01
80043.37983,3.017833326,-0.01
80103.37983,3.01808477,-0.01
80163.37983,3.018335965,-0.01
80223.37983,3.018586911,-0.01
80283.37983,3.018837609,-0.01
80343.37983,3.019088059,-0.01
80403.37983,3.019338261,-0.01
80463.37983,3.019588216,-0.01
80523.37983,3.019837923,-0.01
80583.37983,3.020087384,-0.01
80643.37983,3.020336598,-0.01
80703.37983,3.020585566,-0.01
80763.37983,3.020834287,-0.01
80823.37983,3.021082763,-0.01
80883.37983,3.021330994,-0.01
80943.37983,3.02157898,-0.01
81003.37983,3.02182672,-0.01
81063.37983,3.022074217,-0.01
